drug_name,pack_size,concession_price_p,source,scraped_date,month,is_shortage
Quinine sulfate 300mg tablets,28,£2.01,CPE,2026-03-15,2026-03,1
Rabeprazole 10mg gastro-resistant tablets,28,£1.21,CPE,2026-03-15,2026-03,1
Rabeprazole 20mg gastro-resistant tablets,28,£1.52,CPE,2026-03-15,2026-03,1
Ramipril 1.25mg capsules,28,£0.94,CPE,2026-03-15,2026-03,1
Ramipril 10mg capsules,28,£1.08,CPE,2026-03-15,2026-03,1
Ramipril 10mg tablets,28,£0.82,CPE,2026-03-15,2026-03,1
Ramipril 2.5mg capsules,28,£0.99,CPE,2026-03-15,2026-03,1
Ramipril 2.5mg tablets,28,£0.82,CPE,2026-03-15,2026-03,1
Ramipril 5mg capsules,28,£0.96,CPE,2026-03-15,2026-03,1
Ramipril 5mg tablets,28,£0.84,CPE,2026-03-15,2026-03,1
Ranolazine 750mg modified-release tablets,60,£8.00,CPE,2026-03-15,2026-03,1
Repaglinide 1mg tablets,90,£30.89,CPE,2026-03-15,2026-03,1
Repaglinide 2mg tablets,90,£20.20,CPE,2026-03-15,2026-03,1
Repaglinide 500microgram tablets*,90,£25.36,CPE,2026-03-15,2026-03,1
Risperidone 500microgram tablets,20,£2.06,CPE,2026-03-15,2026-03,1
Rosuvastatin 10mg tablets,28,£2.94,CPE,2026-03-15,2026-03,1
Rosuvastatin 20mg tablets,28,£3.17,CPE,2026-03-15,2026-03,1
Rosuvastatin 40mg tablets,28,£1.99,CPE,2026-03-15,2026-03,1
Rosuvastatin 5mg tablets,28,£1.90,CPE,2026-03-15,2026-03,1
Sertraline 50mg tablets,28,£0.81,CPE,2026-03-15,2026-03,1
Sitagliptin 100mg tablets,28,£2.45,CPE,2026-03-15,2026-03,1
Sitagliptin 100mg/5ml oral solution sugar free,150,£20.30,CPE,2026-03-15,2026-03,1
Sodium bicarbonate 500mg capsules,56,£6.00,CPE,2026-03-15,2026-03,1
Sotalol 40mg tablets,28,£2.60,CPE,2026-03-15,2026-03,1
Sotalol 80mg tablets,28,£4.94,CPE,2026-03-15,2026-03,1
Sulfasalazine 500mg tablets,112,£6.61,CPE,2026-03-15,2026-03,1
Sulpiride 200mg tablets,30,£5.71,CPE,2026-03-15,2026-03,1
Temazepam 10mg tablets,28,£24.19,CPE,2026-03-15,2026-03,1
Thiamine 100mg tablets,100,£2.60,CPE,2026-03-15,2026-03,1
Tibolone 2.5mg tablets,28,£4.30,CPE,2026-03-15,2026-03,1
Timolol 0.25% eye drops,5,£2.51,CPE,2026-03-15,2026-03,1
Timolol 0.5% eye drops,5,£2.41,CPE,2026-03-15,2026-03,1
Tolterodine 1mg tablets,56,£12.20,CPE,2026-03-15,2026-03,1
Tolterodine 2mg tablets,56,£12.20,CPE,2026-03-15,2026-03,1
Tolterodine 4mg modified-release capsules,28,£23.43,CPE,2026-03-15,2026-03,1
Topiramate 100mg tablets,60,£1.95,CPE,2026-03-15,2026-03,1
Tramadol 50mg capsules,30,£0.78,CPE,2026-03-15,2026-03,1
Tramadol 50mg capsules,100,£2.59,CPE,2026-03-15,2026-03,1
Trihexyphenidyl 2mg tablets,84,£123.63,CPE,2026-03-15,2026-03,1
Trimethoprim 100mg tablets,28,£4.07(previously £3.70),CPE,2026-03-15,2026-03,1
Trimethoprim 50mg/5ml oral suspension sugar free,100,£9.36,CPE,2026-03-15,2026-03,1
Valaciclovir 500mg tablets,10,£14.28,CPE,2026-03-15,2026-03,1
Valsartan 80mg capsules,28,£6.46,CPE,2026-03-15,2026-03,1
Venlafaxine 150mg modified-release tablets*,30,£6.32,CPE,2026-03-15,2026-03,1
Venlafaxine 37.5mg tablets,56,£2.60,CPE,2026-03-15,2026-03,1
Zolmitriptan 2.5mg orodispersible tablets sugar free,6,£3.97,CPE,2026-03-15,2026-03,1
