month,source,source_url,drug_name,pack_size,concessionary_price_pence,price_raw
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Enalapril 5mg tablets,28,105,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Eplerenone 50mg tablets,28,314,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Erythromycin 250mg gastro-resistant tablets,28,468,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Esomeprazole 20mg gastro-resistant tablets,28,204,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Esomeprazole 40mg gastro-resistant tablets,28,283,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Estradiol 10microgram pessaries,24,1123,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Estriol 0.01% vaginal cream with applicator,1,3250,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Famotidine 20mg tablets,28,275,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Fenofibrate micronised 267mg capsules,28,1590,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/retrospective-top-up-payment-for-concessionary-prices/,Fenofibrate micronised 267mg capsules (28 pack),,957,September 2025
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Fesoterodine 4mg modified-release tablets,28,401,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Fesoterodine 8mg modified-release tablets,28,283,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Fexofenadine 180mg tablets,30,325,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Flecainide 100mg tablets,60,360,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Flecainide 50mg tablets,60,225,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Fluoxetine 10mg capsules,30,426,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Fluoxetine 20mg capsules,30,204,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Folic acid 400microgram tablets,90,890,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Fusidic acid 1% modified-release eye drops,5,3500,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Glycerol 4g suppositories,12,189,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Haloperidol 5mg tablets,28,428,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Hydrocortisone 5mg tablets,30,1819,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Hydroxocobalamin 1mg/1ml solution for injection ampoules,5,1006,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Hydroxychloroquine 200mg tablets,60,321,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Ibandronic acid 150mg tablets,1,1682,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Ibandronic acid 50mg tablets,28,3972,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Indapamide 1.5mg modified-release tablets,30,150,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Indometacin 25mg capsules,28,570,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Indometacin 50mg capsules,28,844,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Irbesartan 150mg tablets,28,309,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Irbesartan 300mg tablets,28,181,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Irbesartan 75mg tablets,28,212,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Itraconazole 100mg capsules,15,465,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/,Ivabradine 2.5mg tablets,56,4845,
2026-04,BSO NI,https://bso.hscni.net/directorates/operations/family-practitioner-services/pharmacy/contractor-information/drug-tariff-and-related-materials/concessionary-prices/retrospective-top-up-payment-for-concessionary-prices/,Ivabradine 2.5mg tablets (56 pack),,822,July 2025
