molecule,api_manufacturer_count,api_concentration_risk,api_india_china_pct,api_single_source,api_india_count,api_china_count,api_uk_eu_count,us_shortage_active,us_shortage_total
fluticasone,0,UNKNOWN,-1,0,0,0,0,0,4
clonidine,0,UNKNOWN,-1,0,0,0,0,0,0
ondansetron,0,UNKNOWN,-1,0,0,0,0,0,0
hydrocortisone,0,UNKNOWN,-1,0,0,0,0,0,11
indometacin,0,UNKNOWN,-1,0,0,0,0,0,0
celiprolol,0,UNKNOWN,-1,0,0,0,0,0,0
clindamycin,0,UNKNOWN,-1,0,0,0,0,9,25
dosulepin,0,UNKNOWN,-1,0,0,0,0,0,0
glyceryl,0,UNKNOWN,-1,0,0,0,0,0,0
pravastatin,0,UNKNOWN,-1,0,0,0,0,0,8
nebivolol,0,UNKNOWN,-1,0,0,0,0,0,0
fosinopril,0,UNKNOWN,-1,0,0,0,0,0,0
amisulpride,0,UNKNOWN,-1,0,0,0,0,0,0
levetiracetam,0,UNKNOWN,-1,0,0,0,0,0,0
aspirin,0,UNKNOWN,-1,0,0,0,0,0,0
dihydrocodeine,3,HIGH,0,0,0,0,2,0,0
tramadol,0,UNKNOWN,-1,0,0,0,0,0,0
verapamil,0,UNKNOWN,-1,0,0,0,0,0,1
buspirone,0,UNKNOWN,-1,0,0,0,0,0,0
celecoxib,0,UNKNOWN,-1,0,0,0,0,0,6
perindopril,0,UNKNOWN,-1,0,0,0,0,0,0
bendroflumethiazide,0,UNKNOWN,-1,0,0,0,0,0,0
brinzolamide,0,UNKNOWN,-1,0,0,0,0,0,0
phenytoin,0,UNKNOWN,-1,0,0,0,0,0,0
furosemide,0,UNKNOWN,-1,0,0,0,0,10,33
aripiprazole,0,UNKNOWN,-1,0,0,0,0,0,0
pyridoxine,0,UNKNOWN,-1,0,0,0,0,0,1
etoricoxib,0,UNKNOWN,-1,0,0,0,0,0,0
fluvastatin,0,UNKNOWN,-1,0,0,0,0,0,3
codeine,3,HIGH,0,0,0,0,2,0,0
metformin,3,HIGH,33,0,1,0,1,0,0
glycerol,0,UNKNOWN,-1,0,0,0,0,0,0
thiamine,0,UNKNOWN,-1,0,0,0,0,0,0
macrogol,0,UNKNOWN,-1,0,0,0,0,0,0
desmopressin,0,UNKNOWN,-1,0,0,0,0,4,4
lacidipine,0,UNKNOWN,-1,0,0,0,0,0,0
chlorhexidine,0,UNKNOWN,-1,0,0,0,0,0,0
dapagliflozin,0,UNKNOWN,-1,0,0,0,0,0,0
riluzole,0,UNKNOWN,-1,0,0,0,0,4,4
leflunomide,0,UNKNOWN,-1,0,0,0,0,0,0
co-tenidone,0,UNKNOWN,-1,0,0,0,0,0,0
glipizide,0,UNKNOWN,-1,0,0,0,0,0,1
nitrofurantoin,0,UNKNOWN,-1,0,0,0,0,0,0
oxcarbazepine,0,UNKNOWN,-1,0,0,0,0,0,0
clobazam,0,UNKNOWN,-1,0,0,0,0,0,0
hydroxyzine,0,UNKNOWN,-1,0,0,0,0,0,0
clonazepam,0,UNKNOWN,-1,0,0,0,0,10,40
digoxin,0,UNKNOWN,-1,0,0,0,0,0,0
bisoprolol,3,HIGH,33,0,1,0,2,0,0
cyanocobalamin,0,UNKNOWN,-1,0,0,0,0,0,0
colesevelam,0,UNKNOWN,-1,0,0,0,0,0,0
primidone,0,UNKNOWN,-1,0,0,0,0,0,0
liothyronine,0,UNKNOWN,-1,0,0,0,0,0,0
zolpidem,0,UNKNOWN,-1,0,0,0,0,0,0
olopatadine,0,UNKNOWN,-1,0,0,0,0,0,0
moxonidine,0,UNKNOWN,-1,0,0,0,0,0,0
alfacalcidol,0,UNKNOWN,-1,0,0,0,0,0,0
simvastatin,0,UNKNOWN,-1,0,0,0,0,0,0
ranitidine,0,UNKNOWN,-1,0,0,0,0,0,0
mirtazapine,0,UNKNOWN,-1,0,0,0,0,0,0
beclometasone,0,UNKNOWN,-1,0,0,0,0,0,0
raloxifene,0,UNKNOWN,-1,0,0,0,0,0,0
ramipril,3,HIGH,67,0,2,0,1,0,0
eplerenone,0,UNKNOWN,-1,0,0,0,0,0,0
alverine,0,UNKNOWN,-1,0,0,0,0,0,0
pizotifen,0,UNKNOWN,-1,0,0,0,0,0,0
dapsone,0,UNKNOWN,-1,0,0,0,0,0,0
co-amilofruse,0,UNKNOWN,-1,0,0,0,0,0,0
paroxetine,0,UNKNOWN,-1,0,0,0,0,0,0
spironolactone,0,UNKNOWN,-1,0,0,0,0,0,2
travoprost,0,UNKNOWN,-1,0,0,0,0,0,0
hydroxychloroquine,0,UNKNOWN,-1,0,0,0,0,0,1
methocarbamol,0,UNKNOWN,-1,0,0,0,0,0,0
gliclazide,0,UNKNOWN,-1,0,0,0,0,0,0
methotrexate,0,UNKNOWN,-1,0,0,0,0,7,21
brimonidine,0,UNKNOWN,-1,0,0,0,0,0,0
flecainide,0,UNKNOWN,-1,0,0,0,0,0,0
